Timestamp,Overall alarm status,Pre-oxygenator pressure mmHg,Post-oxygenator pressure mmHg,Oxygenator pressure delta mmHg,Pre-oxygenator saturation %,Post-oxygenator saturation %,Post-oxygenator temperature C,Flow rate L/min,Measured pump speed PRM,Flow alarm low limit L/min,Flow alarm high limit L/min,Pre-oxygenator pressure alarm low limit mmHg,Pre-oxygenator pressure alarm high limit mmHg,Post-oxygenator pressure alarm low limit mmHg,Post-oxygenator pressure alarm high limit mmHg,Oxygenator pressure delta alarm low limit mmHg,Oxygenator pressure delta alarm high limit mmHg,Pre-oxygenator saturation alarm low limit %,Pre-oxygenator saturation alarm high limit %,Post-oxygenator saturation alarm low limit %,Post-oxygenator temperature alarm low limit C,Post-oxygenator temperature alarm high limit C,Bubble alarm status,Technical Fault,Case Number
2026.03.26 05:20:06.862,Alarm,58,57,1,42.4,57.4,21.3,0.00,0,0.10,8.00,50,300,50,300,A,75,A,90.0,95.0,A,37.5,E,,11
2026.03.26 05:20:06.980,Alarm,58,56,2,42.3,57.4,21.3,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,11
2026.03.26 05:20:07.099,Alarm,58,56,2,42.3,57.4,21.3,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,11
2026.03.26 05:20:07.893,Alarm,58,56,2,42.3,57.4,21.3,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,11
2026.03.26 05:20:16.368,Alarm,65,56,9,42.3,59.9,21.3,0.12,1590,0.10,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,E,,11
2026.03.26 05:20:21.706,Alarm,142,125,17,42.3,57.2,21.2,4.24,1910,0.10,8.00,50,300,50,300,10,75,A,90.0,A,A,37.5,E,,11
2026.03.26 05:20:52.656,Alarm,146,129,17,42.4,57.5,21.2,4.43,1960,0.10,8.00,50,300,50,300,10,75,D,90.0,A,A,37.5,E,,11
2026.03.26 05:20:55.274,Alarm,148,128,20,42.5,57.2,21.2,4.44,1960,0.10,8.00,50,300,50,300,10,75,D,90.0,D,A,37.5,E,,11
2026.03.26 05:20:57.892,None,146,128,18,42.4,57.5,21.2,4.43,1960,0.10,8.00,50,300,50,300,10,75,D,90.0,D,D,37.5,E,,11
2026.03.26 05:21:07.914,None,148,128,20,42.2,57.2,21.2,4.43,1960,0.10,8.00,D,300,50,300,D,75,D,90.0,D,D,37.5,E,,11
2026.03.26 05:22:07.937,None,147,129,18,41.1,57.4,21.3,4.40,1960,0.10,8.00,D,503,D,366,D,75,D,90.0,D,D,37.5,E,,11
2026.03.26 05:22:13.929,Alarm,146,126,20,Lo,55.5,21.3,4.39,1960,0.10,8.00,D,503,D,366,D,75,D,90.0,D,D,37.5,E,,11
2026.03.26 05:22:17.858,None,148,122,26,41.0,56.7,21.2,4.31,1960,0.10,8.00,D,503,D,366,D,75,D,90.0,D,D,37.5,E,,11
2026.03.26 05:22:21.783,Alarm,142,122,20,Lo,56.7,21.3,4.32,1960,0.10,8.00,D,503,D,366,D,75,D,90.0,D,D,37.5,E,,11
