Timestamp,Overall alarm status,Pre-oxygenator pressure mmHg,Post-oxygenator pressure mmHg,Oxygenator pressure delta mmHg,Pre-oxygenator saturation %,Post-oxygenator saturation %,Post-oxygenator temperature C,Flow rate L/min,Measured pump speed PRM,Flow alarm low limit L/min,Flow alarm high limit L/min,Pre-oxygenator pressure alarm low limit mmHg,Pre-oxygenator pressure alarm high limit mmHg,Post-oxygenator pressure alarm low limit mmHg,Post-oxygenator pressure alarm high limit mmHg,Oxygenator pressure delta alarm low limit mmHg,Oxygenator pressure delta alarm high limit mmHg,Pre-oxygenator saturation alarm low limit %,Pre-oxygenator saturation alarm high limit %,Post-oxygenator saturation alarm low limit %,Post-oxygenator temperature alarm low limit C,Post-oxygenator temperature alarm high limit C,Bubble alarm status,Technical Fault,Case Number
2026.04.22 11:59:58.543,Alarm,Lo,Lo,--,Lo,Lo,23.5,0.00,0,0.10,8.00,A,300,A,300,10,75,A,90.0,95.0,A,37.5,E,,13
2026.04.22 11:59:58.665,Alarm,Lo,Lo,--,Lo,Lo,23.5,0.00,0,A,8.00,A,300,A,300,10,75,A,90.0,A,A,37.5,E,,13
2026.04.22 11:59:58.786,Alarm,Lo,Lo,--,Lo,Lo,23.6,0.00,0,A,8.00,A,300,A,300,10,75,A,90.0,A,A,37.5,E,,13
2026.04.22 12:00:10.501,Alarm,9,6,3,Lo,Lo,23.6,0.00,0,A,8.00,A,300,A,300,10,75,A,90.0,A,A,37.5,E,,13
2026.04.22 12:00:12.428,Alarm,22,21,1,Lo,Lo,23.6,0.00,0,A,8.00,A,300,A,300,A,75,A,90.0,A,A,37.5,E,,13
2026.04.22 12:00:19.229,Alarm,21,17,4,Lo,Lo,23.6,0.00,0,A,8.00,A,300,A,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:20.191,Alarm,18,15,3,Lo,Lo,23.6,0.13,0,0.10,8.00,A,300,A,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:23.270,Alarm,28,17,11,Lo,Lo,23.1,2.22,0,0.10,8.00,A,300,A,300,10,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:28.291,Alarm,55,49,6,Lo,Lo,22.9,0.27,0,0.10,8.00,A,300,A,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:29.236,Alarm,54,51,3,Lo,Lo,22.9,0.14,0,0.10,8.00,50,300,A,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:29.966,Alarm,54,51,3,Lo,Lo,22.9,0.10,0,A,8.00,50,300,A,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:31.262,Alarm,54,52,2,Lo,Lo,22.9,0.04,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:00:42.895,Alarm,54,52,2,Lo,Lo,23.0,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:01:42.919,Alarm,55,53,2,Lo,Lo,23.2,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:02:42.947,Alarm,55,54,1,Lo,Lo,23.3,0.02,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:03:42.970,Alarm,55,53,2,Lo,Lo,23.3,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:04:42.991,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:05:43.010,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:06:43.064,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:07:43.066,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:08:43.087,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:09:43.112,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:10:43.139,Alarm,55,54,1,Lo,Lo,23.5,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:11:43.163,Alarm,55,53,2,Lo,Lo,23.4,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:12:43.183,Alarm,56,54,2,Lo,Lo,23.5,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:13:43.202,Alarm,55,53,2,Lo,Lo,23.5,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:14:43.223,Alarm,55,53,2,Lo,Lo,23.5,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:15:43.248,Alarm,55,53,2,Lo,Lo,23.5,0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:16:43.273,Alarm,55,53,2,Lo,Lo,23.5,0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:17:43.295,Alarm,55,53,2,Lo,Lo,23.5,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:18:43.315,Alarm,55,53,2,Lo,Lo,23.5,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:19:43.364,Alarm,55,53,2,Lo,Lo,23.5,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:20:43.362,Alarm,55,53,2,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:21:43.365,Alarm,55,53,2,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:22:43.386,Alarm,55,53,2,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:23:43.409,Alarm,55,54,1,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:24:43.434,Alarm,55,54,1,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:25:43.455,Alarm,55,53,2,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:26:43.478,Alarm,55,54,1,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:27:43.497,Alarm,55,53,2,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:28:43.520,Alarm,55,53,2,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:29:43.547,Alarm,55,53,2,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:30:43.570,Alarm,56,53,3,Lo,Lo,23.6,0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:31:43.594,Alarm,55,53,2,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:32:43.619,Alarm,55,53,2,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:33:43.665,Alarm,56,53,3,Lo,Lo,23.6,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:34:43.665,Alarm,56,53,3,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:35:43.684,Alarm,56,53,3,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:36:43.703,Alarm,56,53,3,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:37:43.727,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:38:43.752,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:39:43.776,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:40:43.799,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:41:43.826,Alarm,55,53,2,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:42:43.848,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:43:43.871,Alarm,55,53,2,Lo,Lo,23.6,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:44:43.894,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:45:43.911,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:46:43.965,Alarm,55,53,2,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:47:43.963,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:48:43.984,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:49:44.010,Alarm,55,53,2,Lo,Lo,23.7,-0.01,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:50:44.036,Alarm,55,53,2,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:51:44.059,Alarm,54,53,1,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:52:44.082,Alarm,54,53,1,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
2026.04.22 12:53:44.103,Alarm,55,53,2,Lo,Lo,23.7,0.00,0,A,8.00,50,300,50,300,A,75,A,90.0,A,A,37.5,A,,13
